"Site","Watershed","ISCO Number","Record Type","Year","WY","Month","Day","Hour","Season","Julian Day","Running Day of Project","Ca flag","Ca","NMCa (ueq/L)","Mg flag","Mg","NMMg (ueq/L)","K flag","K (ueq/L)","NMK (ueq/L)","Na flag","Na (ueq/L)","NMNa (ueq/L)","Si flag","Si (mg/L)","NH4 flag","NH4 (ueq/L)","Al flag","Al","Al-Org flag","Al-Org (PPB)","Total N flag","Total N (ppm)","Cl flag","Cl (ueq/L)","SO4 flag","SO4 (ueq/L)","NMSO4 (ueq/L)","NO3 flag","NO3 (ueq/L)","DOC flag","DOC (mg/L)","DIC flag","DIC (mg/L)","ANC (ueq/L)","Closed-cell pH","Air-equilibrated pH","Specific Conductance (us/cm)","Q","Initial pH","H","HCO3 (ueq/L)","Unequilibrated pH (older samples)","Apparent color flag","Apparent Color (PCU)","True color flag","True color (PCU)","Total P flag","Total P (ppb)","Field Temp (degrees C)","Comment","SUVA","CaMg","H2","H3","WY_group","WY_group2"
"EB8","EB",NA,"REG",1991,1991,6,11,12,"SUMMER",162.5,1988.5,NA,77,75,NA,29,18,NA,4.3,3,NA,83,33,NA,2.07,"Half DL",1.4,NA,101,NA,44,NA,NA,NA,58,NA,108,102,"<RL",0.7,NA,1.6,NA,1.4,"19.8","5.69","6.42","24",0.113,NA,0.38,20.1,NA,"<RL",5,NA,NA,NA,NA,"13",NA,NA,106,0.1444,0.054872,NA,"1990-99"
"WB3","WB",NA,"DUP",1991,1991,6,11,13,"SUMMER",162.5,1988.54,NA,77,75,NA,31,20,NA,4.3,3,NA,87,37,NA,2.83,"Half DL",1.4,NA,69,NA,34,NA,NA,NA,59,NA,118,112,NA,2.2,NA,1.4,NA,0.6,"13.2","5.76","6.16","25.1",0.396,NA,0.69,9.91,NA,"<RL",3,NA,NA,NA,NA,NA,NA,NA,108,0.4761,0.328509,NA,"1990-99"
"WB3","WB",NA,"REG",1991,1991,6,11,13,"SUMMER",162.5,1988.54,NA,76,74,NA,31,19,NA,5.4,4,NA,89,36,NA,2.86,"Half DL",1.4,NA,69,NA,36,NA,NA,NA,62,NA,118,112,NA,2.4,NA,1.5,NA,0.7,"12.7","S","6.18","25.2",0.396,NA,0.66,NA,NA,"<RL",3,NA,NA,NA,NA,"15",NA,NA,107,0.4356,0.287496,NA,"1990-99"
"EB8","EB",NA,"REG",1991,1991,6,18,13,"SUMMER",169.5,1995.54,NA,72,70,NA,26,16,NA,2.6,2,NA,79,35,NA,2.04,"Half DL",1.4,NA,105,NA,52,NA,NA,NA,51,NA,110,105,"Half DL",0.05,NA,1.9,NA,0.9,"15","5.61","6.22","23.4",0.51,NA,0.6,11.4,NA,"<RL",4,NA,NA,NA,NA,"12",NA,NA,98,0.36,0.216,NA,"1990-99"
"WB3","WB",NA,"REG",1991,1991,6,18,13,"SUMMER",169.5,1995.54,NA,75,73,NA,32,22,NA,3.1,2,NA,86,42,NA,2.74,"Half DL",1.4,NA,67,NA,39,NA,NA,NA,52,NA,120,115,NA,4,NA,1.6,NA,0.5,"16","5.69","6.31","25.1",0.764,NA,0.49,7.68,NA,"<RL",3,NA,NA,NA,NA,"12",NA,NA,107,0.2401,0.117649,NA,"1990-99"
"WB3","WB",NA,"REP",1991,1991,6,18,13,"SUMMER",169.5,1995.54,NA,75,73,NA,32,22,NA,3.1,2,NA,87,41,NA,2.72,"Half DL",1.4,NA,65,NA,39,NA,NA,NA,53,NA,119,114,NA,4.2,NA,1.5,NA,0.7,"15.1","6.01","6.32","25.1",0.764,NA,0.48,18.3,NA,"<RL",3,NA,NA,NA,NA,"12",NA,NA,107,0.2304,0.110592,NA,"1990-99"
"EB8","EB",4,"ISCO",1991,1991,6,21,16,"SUMMER",172.7,1998.67,NA,74,72,NA,26,16,NA,2,1,NA,80,36,NA,1.98,"Half DL",1.4,NA,76,NA,NA,NA,NA,NA,51,NA,103,98,"<RL",0.3,NA,1.9,NA,NA,"20.399999999999999","6.22","6.48","23.9",0.057,NA,0.33,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,100,0.1089,0.035937,NA,"1990-99"
"WB3","WB",4,"ISCO",1991,1991,6,21,16,"SUMMER",172.7,1998.67,NA,75,73,NA,31,20,NA,2.8,2,NA,89,40,NA,2.96,"Half DL",1.4,NA,65,NA,NA,NA,NA,NA,57,NA,118,112,"<RL",0.7,NA,1.5,NA,NA,"17.399999999999999","5.93","6.41","24.9",0.311,NA,0.39,NA,NA,"<RL",3,NA,NA,NA,NA,NA,NA,NA,106,0.1521,0.059319,NA,"1990-99"
"EB8","EB",6,"ISCO",1991,1991,6,23,16,"SUMMER",174.7,2000.67,NA,79,77,NA,28,18,NA,2,1,NA,81,37,NA,2.03,"Half DL",1.4,NA,78,NA,NA,NA,NA,NA,52,NA,102,97,"<RL",0.1,NA,1.8,NA,NA,"23.8","6.32","6.66","24.1",0.028,NA,0.22,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,107,0.0484,0.010648,NA,"1990-99"
"WB3","WB",6,"ISCO",1991,1991,6,23,16,"SUMMER",174.7,2000.67,NA,75,73,NA,31,20,NA,2.6,1,NA,90,41,NA,3.03,"Half DL",1.4,NA,66,NA,NA,NA,NA,NA,58,NA,116,110,"Half DL",0.05,NA,1.5,NA,NA,"16.899999999999999","5.94","6.46","24.9",0.311,NA,0.35,NA,NA,"<RL",4,NA,NA,NA,NA,NA,NA,NA,106,0.1225,0.042875,NA,"1990-99"
"WB3","WB",NA,"DUP",1991,1991,6,25,11,"SUMMER",176.5,2002.46,NA,75,73,NA,30,17,NA,4.9,4,NA,99,40,NA,3.04,"Half DL",1.4,NA,69,NA,40,NA,NA,NA,69,NA,116,109,"Half DL",0.05,NA,1.7,NA,0.8,"16.5","5.76","6.36","25.6",0.311,NA,0.44,13.9,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,105,0.1936,0.085184,NA,"1990-99"
"WB3","WB",NA,"REG",1991,1991,6,25,11,"SUMMER",176.5,2002.46,NA,75,72,NA,30,17,NA,5.1,4,NA,101,42,NA,3.09,"Half DL",1.4,NA,69,NA,39,NA,NA,NA,69,NA,115,108,"Half DL",0.05,NA,1.7,NA,0.8,"17.7","5.81","6.32","26.5",0.311,NA,0.48,14.7,NA,"<RL",4,NA,NA,NA,NA,"14",NA,NA,105,0.2304,0.110592,NA,"1990-99"
"WB3","WB",3,"ISCO",1991,1991,6,27,16,"SUMMER",178.7,2004.67,NA,76,73,NA,30,18,NA,2.3,1,NA,91,37,NA,3.24,"<RL",3.32,NA,65,NA,NA,NA,NA,NA,63,NA,116,109,"<RL",0.2,NA,1.4,NA,NA,"23.7","6.19","6.53","25.3",0.17,NA,0.3,NA,NA,"<RL",3,NA,NA,NA,NA,NA,NA,NA,106,0.09,0.027,NA,"1990-99"
"WB3","WB",5,"ISCO",1991,1991,6,29,16,"SUMMER",180.7,2006.67,NA,75,73,NA,30,19,NA,2.3,1,NA,90,39,NA,3.19,"Half DL",1.4,NA,85,NA,NA,NA,NA,NA,60,NA,114,108,"<RL",0.2,NA,1.4,NA,NA,"21.7","6.15","6.57","25",0.226,NA,0.27,NA,NA,"<RL",3,NA,NA,NA,NA,NA,NA,NA,105,0.0729,0.019683,NA,"1990-99"
"EB8","EB",6,"ISCO",1991,1991,7,14,16,"SUMMER",195.7,2021.67,NA,87,85,NA,30,18,NA,2.6,1,NA,87,36,NA,2.32,NA,NA,NA,70,NA,NA,NA,NA,NA,60,NA,104,98,"Half DL",0.05,NA,1.7,NA,NA,"42.7","6.7","6.9","26.4",0.028,NA,0.13,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,117,0.0169,0.002197,NA,"1990-99"
"WB3","WB",6,"ISCO",1991,1991,7,14,16,"SUMMER",195.7,2021.67,NA,66,64,NA,28,16,NA,2.3,1,NA,88,36,NA,3.1,"Half DL",1.4,NA,69,NA,NA,NA,NA,NA,61,NA,111,105,NA,3.6,NA,1.6,NA,NA,"21.9","6.2","6.49","25.8",0.311,NA,0.32,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,94,0.1024,0.032768,NA,"1990-99"
"WB3","WB",6,"ISCO",1991,1991,8,12,16,"SUMMER",224.7,2050.67,NA,92,90,NA,36,26,NA,4.1,3,NA,89,45,NA,2.65,"<RL",2.77,NA,85,NA,NA,NA,NA,NA,51,NA,140,135,"Half DL",0.05,NA,1.7,NA,NA,"21.7","6.09","6.29","28.4",0.311,NA,0.51,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,128,0.2601,0.132651,NA,"1990-99"
"EB8","EB",1,"ISCO",1991,1991,8,19,16,"SUMMER",231.7,2057.67,NA,84,82,NA,28,18,NA,2.8,2,NA,78,33,NA,2.12,NA,NA,NA,123,NA,NA,NA,NA,NA,53,NA,93,88,NA,2.2,NA,2.3,NA,NA,"41.4","6.57","6.85","23.8",0.028,NA,0.14,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,112,0.0196,0.002744,NA,"1990-99"
"WB3","WB",5,"ISCO",1991,1991,8,19,16,"SUMMER",231.7,2057.67,NA,71,69,NA,30,20,NA,4.3,3,NA,87,42,NA,3.1,"Half DL",1.4,NA,92,NA,NA,NA,NA,NA,52,NA,103,98,"Half DL",0.05,NA,2.1,NA,NA,"24","6.14","6.56","23.3",0.311,NA,0.28,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,101,0.0784,0.021952,NA,"1990-99"
"WB3","WB",NA,"DUP",1991,1991,8,20,12,"SUMMER",232.5,2058.5,NA,105,103,NA,42,30,NA,4.9,4,NA,86,35,NA,2.37,"Half DL",1.4,NA,75,NA,45,NA,NA,NA,59,NA,140,134,NA,10.6,NA,1.8,NA,0.5,"10","5.65","6.16","29.4",2.067,NA,0.69,7.11,NA,"<RL",4,NA,NA,NA,NA,NA,NA,NA,147,0.4761,0.328509,NA,"1990-99"
"WB3","WB",NA,"REG",1991,1991,8,20,12,"SUMMER",232.5,2058.5,NA,105,103,NA,42,31,NA,4.9,4,NA,85,35,NA,2.36,"Half DL",1.4,NA,74,NA,46,NA,NA,NA,58,NA,140,134,NA,10.6,NA,1.7,NA,0.5,"9.8000000000000007","5.62","6.21","29.4",2.067,NA,0.62,6.71,NA,"<RL",3,NA,NA,NA,NA,"15",NA,NA,147,0.3844,0.238328,NA,"1990-99"
"EB8","EB",NA,"REG",1991,1991,8,20,13,"SUMMER",232.5,2058.54,NA,75,73,NA,26,15,NA,3.3,2,NA,77,28,NA,2.04,"Half DL",1.4,NA,113,NA,70,NA,NA,NA,57,NA,103,97,"Half DL",0.05,NA,2.1,NA,0.5,"13","5.52","6.18","23.5",0.906,NA,0.66,5.5,NA,NA,6,NA,NA,NA,NA,"15",NA,NA,101,0.4356,0.287496,NA,"1990-99"
"EB8","EB",NA,"REP",1991,1991,8,20,13,"SUMMER",232.5,2058.54,NA,75,73,NA,26,15,NA,3.6,3,NA,77,29,NA,2.03,"Half DL",1.4,NA,111,NA,71,NA,NA,NA,56,NA,101,95,"Half DL",0.05,NA,2,NA,NA,"11.6","5.75","6.17","23.4",0.906,NA,0.68,NA,NA,NA,6,NA,NA,NA,NA,"15",NA,NA,101,0.4624,0.314432,NA,"1990-99"
"EB8","EB",4,"ISCO",1991,1991,8,23,16,"SUMMER",235.7,2061.67,NA,74,72,NA,26,16,NA,2.3,1,NA,76,31,NA,2.04,"<RL",3.32,NA,95,NA,NA,NA,NA,NA,53,NA,103,98,"Half DL",0.05,NA,1.9,NA,NA,"15.3","6.21","6.45","23.5",0.396,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0.1225,0.042875,NA,"1990-99"
"WB3","WB",4,"ISCO",1991,1991,8,23,16,"SUMMER",235.7,2061.67,NA,94,92,NA,37,26,NA,4.1,3,NA,83,35,NA,2.48,"Half DL",1.4,NA,72,NA,NA,NA,NA,NA,55,NA,136,130,"Half DL",0.05,NA,1.6,NA,NA,"12.9","6.08","6.31","28.3",0.623,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,0.2401,0.117649,NA,"1990-99"
"EB8","EB",6,"ISCO",1991,1991,8,25,16,"SUMMER",237.7,2063.67,NA,82,80,NA,28,17,NA,1.8,1,NA,80,31,NA,2.2,"<RL",3.32,NA,89,NA,NA,NA,NA,NA,58,NA,105,99,"Half DL",0.05,NA,1.6,NA,NA,"22.2","6.38","6.64","24.7",0.057,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,0.0529,0.012167,NA,"1990-99"
"WB3","WB",6,"ISCO",1991,1991,8,25,16,"SUMMER",237.7,2063.67,NA,92,90,NA,37,26,NA,3.1,2,NA,85,35,NA,2.74,"Half DL",1.4,NA,74,NA,NA,NA,NA,NA,58,NA,128,122,"Half DL",0.05,NA,1.8,NA,NA,"16.100000000000001","6.21","6.48","27.8",0.311,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,0.1089,0.035937,NA,"1990-99"
"WB3","WB",NA,"DUP",1991,1991,8,27,13,"SUMMER",239.5,2065.54,NA,88,86,NA,35,24,NA,3.6,2,NA,91,39,NA,2.94,"Half DL",1.4,NA,63,NA,39,NA,NA,NA,61,NA,132,126,"Half DL",0.05,NA,1.6,NA,0.9,"22.1","5.69","6.53","27.9",0.396,NA,0.3,12.7,NA,"<RL",3,NA,NA,NA,NA,NA,NA,NA,123,0.09,0.027,NA,"1990-99"
"WB3","WB",NA,"REG",1991,1991,8,27,13,"SUMMER",239.5,2065.54,NA,89,86,NA,35,23,NA,4.1,3,NA,91,38,NA,2.92,"Half DL",1.4,NA,65,NA,38,NA,NA,NA,62,NA,132,126,"Half DL",0.05,NA,1.6,NA,0.9,"20.8","5.7","6.53","28.1",0.396,NA,0.3,13.9,NA,"<RL",3,NA,NA,NA,NA,"16.5",NA,NA,124,0.09,0.027,NA,"1990-99"
"EB8","EB",NA,"REG",1991,1991,8,27,14,"SUMMER",239.6,2065.58,NA,86,84,NA,30,17,NA,2.6,1,NA,86,32,NA,2.26,"Half DL",1.4,NA,104,NA,48,NA,NA,NA,63,NA,109,102,"Half DL",0.05,NA,1.7,NA,2.3,"31.6","5.54","6.77","26.3",0.113,NA,0.17,24.7,NA,"<RL",3,NA,NA,NA,NA,"15",NA,NA,116,0.0289,0.004913,NA,"1990-99"
"EB8","EB",4,"ISCO",1991,1991,9,20,16,"FALL",263.7,2089.67,NA,83,80,NA,30,18,NA,1.8,1,NA,87,34,NA,2.35,"Half DL",1.4,NA,100,NA,NA,NA,NA,NA,62,NA,115,109,"Half DL",0.05,NA,1.4,NA,NA,"22","M","6.55","26.2",0.113,NA,0.28,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,113,0.0784,0.021952,NA,"1990-99"
"WB3","WB",4,"ISCO",1991,1991,9,20,16,"FALL",263.7,2089.67,NA,75,73,NA,34,22,NA,4.9,4,NA,92,41,NA,2.91,NA,6.65,NA,69,NA,NA,NA,NA,NA,60,NA,123,117,"Half DL",0.05,NA,2.1,NA,NA,"17","M","6.55","27",0.623,NA,0.28,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,109,0.0784,0.021952,NA,"1990-99"
"EB8","EB",2,"ISCO",1991,1991,9,25,12,"FALL",268.5,2094.5,NA,70,69,NA,26,16,NA,8.9,8,NA,67,25,NA,1.62,"Half DL",1.4,NA,135,NA,NA,NA,NA,NA,49,NA,97,92,"Half DL",0.05,NA,2.9,NA,NA,"20.399999999999999","5.94","6.39","21.9",2.18,NA,0.41,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,96,0.1681,0.068921,NA,"1990-99"
"WB3","WB",2,"ISCO",1991,1991,9,25,12,"FALL",268.5,2094.5,NA,94,92,NA,38,28,NA,8.9,8,NA,74,32,NA,1.84,NA,6.09,NA,130,NA,NA,NA,NA,NA,49,NA,128,123,NA,4,NA,3.3,NA,NA,"15.4","6.01","6.24","28.1",5.322,NA,0.58,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,132,0.3364,0.195112,NA,"1990-99"
"EB8","EB",3,"ISCO",1991,1991,9,25,14,"FALL",268.6,2094.58,NA,66,64,NA,22,13,NA,9.2,8,NA,59,19,NA,1.51,"Half DL",1.4,NA,190,NA,NA,NA,NA,NA,46,NA,90,85,"<RL",0.2,NA,3.9,NA,NA,"11.6","5.62","5.91","20.6",11.267,NA,1.23,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,88,1.5129,1.860867,NA,"1990-99"
"WB3","WB",3,"ISCO",1991,1991,9,25,14,"FALL",268.6,2094.58,NA,107,105,NA,39,30,NA,12.3,11,NA,64,25,NA,1.59,"<RL",4.99,NA,240,NA,NA,NA,NA,NA,45,NA,137,132,NA,16,NA,4.1,NA,NA,"10.9","5.72","5.9","29.1",15.004,NA,1.26,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,146,1.5876,2.000376,NA,"1990-99"
"EB8","EB",4,"ISCO",1991,1991,9,25,16,"FALL",268.7,2094.67,NA,71,69,NA,23,14,NA,7.4,7,NA,59,19,NA,1.66,"Half DL",1.4,NA,209,NA,NA,NA,NA,NA,46,NA,96,91,"<RL",0.4,NA,3.8,NA,NA,"2.4","5.33","5.4","22",41.899,NA,3.98,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,94,15.8404,63.044792,NA,"1990-99"
"WB3","WB",4,"ISCO",1991,1991,9,25,16,"FALL",268.7,2094.67,NA,112,111,NA,39,30,NA,12,11,NA,62,24,NA,1.65,"Half DL",1.4,NA,269,NA,NA,NA,NA,NA,44,NA,154,149,NA,20.4,NA,3.3,NA,NA,"6.9","5.55","5.66","30.8",48.693,NA,2.19,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,151,4.7961,10.503459,NA,"1990-99"
"EB8","EB",5,"ISCO",1991,1991,9,25,18,"FALL",268.8,2094.75,NA,72,70,NA,24,14,NA,6.1,5,NA,60,17,NA,1.66,"Half DL",1.4,NA,205,NA,NA,NA,NA,NA,50,NA,101,96,"Half DL",0.05,NA,3.3,NA,NA,"-1.6","5.23","5.37","22.2",33.689,NA,4.27,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,96,18.2329,77.854483,NA,"1990-99"
"WB3","WB",5,"ISCO",1991,1991,9,25,18,"FALL",268.8,2094.75,NA,113,112,NA,38,29,NA,10.7,10,NA,60,22,NA,1.61,"Half DL",1.4,NA,265,NA,NA,NA,NA,NA,45,NA,159,154,NA,21.4,NA,2.8,NA,NA,"5.2","5.52","5.57","31.4",38.785,NA,2.69,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,151,7.2361,19.465109,NA,"1990-99"
"EB8","EB",7,"ISCO",1991,1991,9,25,22,"FALL",268.9,2094.92,NA,72,71,NA,23,14,NA,5.4,4,NA,60,19,NA,1.59,"Half DL",1.4,NA,180,NA,NA,NA,NA,NA,47,NA,103,98,"Half DL",0.05,NA,2.9,NA,NA,"-2","5.19","5.28","21.9",24.205,NA,5.25,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,95,27.5625,144.703125,NA,"1990-99"
"EB8","EB",10,"ISCO",1991,1991,9,26,4,"FALL",269.2,2095.17,NA,72,70,NA,23,14,NA,4.3,3,NA,60,20,NA,1.6,"Half DL",1.4,NA,161,NA,NA,NA,NA,NA,46,NA,103,98,"Half DL",0.05,NA,2.6,NA,NA,"-3.8","5.19","5.34","21.6",13.844,NA,4.57,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,95,20.8849,95.443993,NA,"1990-99"
"WB3","WB",10,"ISCO",1991,1991,9,26,4,"FALL",269.2,2095.17,NA,113,112,NA,38,29,NA,8.4,8,NA,62,23,NA,1.61,"Half DL",1.4,NA,251,NA,NA,NA,NA,NA,46,NA,164,159,NA,14,NA,2.3,NA,NA,"4.3","5.53","5.66","31.3",15.457,NA,2.19,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,151,4.7961,10.503459,NA,"1990-99"
"EB8","EB",11,"ISCO",1991,1991,9,26,6,"FALL",269.3,2095.25,NA,71,70,NA,23,14,NA,4.6,4,NA,59,21,NA,1.53,"Half DL",1.4,NA,158,NA,NA,NA,NA,NA,45,NA,102,97,"Half DL",0.05,NA,2.6,NA,NA,"-1.4","5.24","5.34","21.8",12.428,NA,4.57,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,94,20.8849,95.443993,NA,"1990-99"
"WB3","WB",11,"ISCO",1991,1991,9,26,6,"FALL",269.3,2095.25,NA,109,107,NA,36,27,NA,7.9,7,NA,61,21,NA,1.61,"Half DL",1.4,NA,245,NA,NA,NA,NA,NA,46,NA,161,156,NA,12.5,NA,2.2,NA,NA,"5.6","5.63","5.8","30.8",13.419,NA,1.58,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,145,2.4964,3.944312,NA,"1990-99"
"EB8","EB",12,"ISCO",1991,1991,9,26,8,"FALL",269.3,2095.33,NA,69,68,NA,22,14,NA,4.3,4,NA,57,20,NA,1.51,"Half DL",1.4,NA,177,NA,NA,NA,NA,NA,43,NA,99,95,"Half DL",0.05,NA,2.7,NA,NA,"-2.4","5.2","5.27","20.8",13.306,NA,5.37,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,91,28.8369,154.854153,NA,"1990-99"
"WB3","WB",12,"ISCO",1991,1991,9,26,8,"FALL",269.3,2095.33,NA,105,103,NA,35,27,NA,8.4,8,NA,60,22,NA,1.57,"Half DL",1.4,NA,280,NA,NA,NA,NA,NA,44,NA,160,155,NA,11.3,NA,2.4,NA,NA,"5.2","5.58","5.72","30.5",14.042,NA,1.91,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,140,3.6481,6.967871,NA,"1990-99"
"EB8","EB",13,"ISCO",1991,1991,9,26,10,"FALL",269.4,2095.42,NA,68,66,NA,21,13,NA,4.1,3,NA,56,20,NA,1.5,"Half DL",1.4,NA,212,NA,NA,NA,NA,NA,42,NA,99,95,"Half DL",0.05,NA,3,NA,NA,"-4","5.12","5.18","20.8",24.856,NA,6.61,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,89,43.6921,288.804781,NA,"1990-99"
"WB3","WB",13,"ISCO",1991,1991,9,26,10,"FALL",269.4,2095.42,NA,105,103,NA,35,26,NA,7.9,7,NA,59,21,NA,1.54,"Half DL",1.4,NA,326,NA,NA,NA,NA,NA,44,NA,160,155,NA,11.2,NA,2.7,NA,NA,"4.5","5.51","5.66","30.8",26.357,NA,2.19,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,140,4.7961,10.503459,NA,"1990-99"
"EB8","EB",15,"ISCO",1991,1991,9,26,14,"FALL",269.6,2095.58,NA,69,67,NA,21,13,NA,4.1,3,NA,56,20,NA,1.52,"Half DL",1.4,NA,216,NA,NA,NA,NA,NA,42,NA,101,97,"Half DL",0.05,NA,3,NA,NA,"-6.5","5.04","5.0999999999999996","20.7",30.292,NA,7.94,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,90,63.0436,500.566184,NA,"1990-99"
"WB3","WB",15,"ISCO",1991,1991,9,26,14,"FALL",269.6,2095.58,NA,106,105,NA,35,26,NA,7.7,7,NA,58,21,NA,1.51,"Half DL",1.4,NA,240,NA,NA,NA,NA,NA,43,NA,163,159,NA,11.9,NA,2.4,NA,NA,"1.9","5.4","5.51","31.5",30.575,NA,3.09,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,141,9.5481,29.503629,NA,"1990-99"
"EB8","EB",17,"ISCO",1991,1991,9,26,18,"FALL",269.8,2095.75,NA,67,66,NA,21,13,NA,3.6,3,NA,54,19,NA,1.45,"Half DL",1.4,NA,222,NA,NA,NA,NA,NA,41,NA,98,94,"Half DL",0.05,NA,2.9,NA,NA,"-7.8","4.99","5.1100000000000003","20.6",29.442,NA,7.76,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,88,60.2176,467.288576,NA,"1990-99"
"WB3","WB",17,"ISCO",1991,1991,9,26,18,"FALL",269.8,2095.75,NA,106,105,NA,35,26,NA,6.9,6,NA,58,21,NA,1.57,"Half DL",1.4,NA,344,NA,NA,NA,NA,NA,44,NA,170,165,NA,11,NA,2.3,NA,NA,"3","5.45","5.59","31.7",30.575,NA,2.57,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,141,6.6049,16.974593,NA,"1990-99"
"EB8","EB",19,"ISCO",1991,1991,9,26,22,"FALL",269.9,2095.92,NA,67,66,NA,21,13,NA,3.6,3,NA,54,19,NA,1.49,"Half DL",1.4,NA,203,NA,NA,NA,NA,NA,41,NA,100,96,"Half DL",0.05,NA,2.8,NA,NA,"-6","5.0599999999999996","5.16","20.5",20.355,NA,6.92,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,88,47.8864,331.373888,NA,"1990-99"
"WB3","WB",7,"ISCO",1991,1991,9,26,22,"FALL",269.9,2095.92,NA,112,111,NA,37,28,NA,9.2,8,NA,60,21,NA,1.59,"Half DL",1.4,NA,291,NA,NA,NA,NA,NA,46,NA,164,159,NA,18.7,NA,2.4,NA,NA,"4.5","5.5","5.66","32",21.969,NA,2.19,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,149,4.7961,10.503459,NA,"1990-99"
"WB3","WB",19,"ISCO",1991,1991,9,26,22,"FALL",269.9,2095.92,NA,106,105,NA,35,27,NA,7.2,6,NA,60,21,NA,1.6,"Half DL",1.4,NA,341,NA,NA,NA,NA,NA,45,NA,170,165,NA,9.3,NA,2.3,NA,NA,"2.6","5.44","5.52","31.4",21.969,NA,3.02,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,141,9.1204,27.543608,NA,"1990-99"
"EB8","EB",22,"ISCO",1991,1991,9,27,4,"FALL",270.2,2096.17,NA,69,68,NA,22,14,NA,3.6,3,NA,55,19,NA,1.5,"Half DL",1.4,NA,165,NA,NA,NA,NA,NA,42,NA,100,96,"Half DL",0.05,NA,2.6,NA,NA,"-5.7","5.1100000000000003","5.19","20.399999999999999",13.419,NA,6.46,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,91,41.7316,269.586136,NA,"1990-99"
"WB3","WB",22,"ISCO",1991,1991,9,27,4,"FALL",270.2,2096.17,NA,105,104,NA,35,26,NA,6.4,6,NA,60,22,NA,1.61,"Half DL",1.4,NA,326,NA,NA,NA,NA,NA,45,NA,166,161,NA,7.2,NA,2,NA,NA,"2","5.42","5.47","31.1",15.457,NA,3.39,NA,NA,"<RL",4,NA,NA,NA,NA,NA,NA,NA,140,11.4921,38.958219,NA,"1990-99"
"EB8","EB",1,"ISCO",1991,1991,9,27,12,"FALL",270.5,2096.5,NA,70,68,NA,22,13,NA,3.1,2,NA,56,17,NA,1.55,"Half DL",1.4,NA,150,NA,NA,NA,NA,NA,45,NA,103,98,"Half DL",0.05,NA,2.3,NA,NA,"1.2","5.49","5.49","21.1",8.606,NA,3.24,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,92,10.4976,34.012224,NA,"1990-99"
"WB3","WB",1,"ISCO",1991,1991,9,27,12,"FALL",270.5,2096.5,NA,113,111,NA,36,25,NA,6.4,5,NA,63,15,NA,1.72,"<RL",2.77,NA,195,NA,NA,NA,NA,NA,56,NA,171,165,NA,5.8,NA,1.9,NA,NA,"-5.2","5.15","5.14","31",10.163,NA,7.24,NA,NA,"<RL",5,NA,NA,NA,NA,NA,NA,NA,149,52.4176,379.503424,NA,"1990-99"
